title,address,latitude,longitude,classification,planning_area,pa_population,pa_income,subzone,subzone_population,subzone_income,makan index,region,region_type,population,size,density,24 hours?,property_type
McDonald's Toa Payoh Lorong,"Blk 109 Lor 1 Toa Payoh, #01-318, Singapore 310109",1.3412056,103.8463979,Medium,Toa Payoh,128880,3.41194E-05,Toa Payoh West,14280,0.000291097,5.89,Central,RCR,129250,8.17,15820.07,No,HDB
McDonald's Ang Mo Kio Ave 10,"Block 448 Ang Mo Kio Ave 10, #01-1693, Singapore 560448",1.3674385,103.8563633,Low,Ang Mo Kio,161570,2.84855E-05,Chong Boon,25750,0.000134248,6.08,North East,OCR,161900,13.94,11614.06,Yes,
McDonald's Parklane,"35 Selegie Rd, B1-38 Parklane Shopping Mall, Singapore 188307",1.300661,103.8493367,Medium,Rochor,12640,0.000293829,Selegie,160,0.04375,0,Central,RCR,12810,1.62,7907.41,No,Retail
McDonald's NEX,"23 Serangoon Central, B2-05/06/07/08 NEX, Singapore 556083",1.3509715,103.8718992,Medium,Serangoon,118340,4.54084E-05,Serangoon Central,24160,0.000197223,6.1,North East,OCR,118400,10.1,11722.77,No,Retail
McDonald's Toa Payoh SAFRA,"293 Lorong 6 Toa Payoh #01-02, SAFRA, Club. Singapore, Singapore 319387",1.3302726,103.854705,High,Toa Payoh,128880,3.41194E-05,Toa Payoh Central,27630,0.000150232,5.89,Central,RCR,129250,8.17,15820.07,No,
McDonald's Bishan Junction 8,"9 Bishan Pl, #01-20 Junction 8, Singapore 579837",1.3502609,103.8484718,Medium,Bishan,85750,5.60909E-05,Bishan East,27650,0.00016836,6.28,Central,RCR,85940,7.62,11278.22,No,Retail
McDonald's Bugis Village,"151-152 Rochor Rd, Singapore 188426",1.3012126,103.8550878,Low,Rochor,12640,0.000293829,Victoria,1640,0.002130428,0,Central,RCR,12810,1.62,7907.41,Yes,Office
McDonald's Marina Square,"6 Raffles Blvd, #02-156/ #02-157/ #02-166 Marina Square, Singapore 039594",1.2912208,103.8573036,High,Downtown Core,3870,0.000523807,Marina Centre,0,0,0,Central,CCR,3570,4.34,822.58,No,Retail
McDonald's V Hotel,"70 Jellicoe Rd, Singapore 208767",1.3080123,103.862551,Medium,Kallang,101040,3.88154E-05,Lavender,10160,0.000431046,5.96,Central,RCR,101300,9.17,11046.89,No,
McDonald's Punggol SAFRA,"9 Sentul Cres, #03-05 SAFRA Punggol, Singapore 828654",1.4101714,103.9058403,High,Punggol,186270,2.51548E-05,Punggol Town Centre,22730,0.000180237,6.39,North East,OCR,186270,9.34,19943.25,Yes,
McDonald's United Square,"101 Thomson Rd, #B1-11/12 United Square Shopping Mall, Singapore 307591",1.3170116,103.8439755,High,Novena,50790,7.52416E-05,Moulmein,10080,0.00069907,6.22,Central,CCR,50850,8.98,5662.58,No,Retail
McDonald's Ang Mo Kio,"51 Ang Mo Kio Ave 3, #01-04, 51@AMK 569922",1.3693982,103.8473282,Low,Ang Mo Kio,161570,2.84855E-05,Ang Mo Kio Town Centre,4940,0.001127702,6.08,North East,OCR,161900,13.94,11614.06,Yes,
McDonald's Bugis Junction,"200 Victoria Street #01-66 Bugis Junction, Singapore 188024",1.2992456,103.8557546,Medium,Downtown Core,3870,0.000523807,Bugis,980,0.004591837,0,Central,CCR,3570,4.34,822.58,No,Office
McDonald's Raffles City,"252 North Bridge Road 01-49/50/51 Raffles City Shopping Centre, Singapore 179103",1.2931499,103.8533058,High,Downtown Core,3870,0.000523807,City Hall,40,0.175,0,Central,CCR,3570,4.34,822.58,Yes,Retail
McDonald's Suntec City,"3 Temasek Blvd, Singapore 038983",1.2947699,103.8599943,High,Downtown Core,3870,0.000523807,Marina Centre,0,0,0,Central,CCR,3570,4.34,822.58,No,Office
McDonald's Zhongshan Mall,"20 Ah Hood Rd, #01-16 Zhongshan Mall, Singapore 329984",1.3267879,103.8467985,Medium,Novena,50790,7.52416E-05,Balestier,32900,0.000144876,6.22,Central,CCR,50850,8.98,5662.58,Yes,Retail
McDonalds Ang Mo Kio BLK163,"163 Ang Mo Kio Ave 4, #01-438, Singapore 560163",1.3736253,103.8375503,Medium,Ang Mo Kio,161570,2.84855E-05,Kebun Bahru,22270,0.0001742,6.08,North East,OCR,161900,13.94,11614.06,Yes,
McDonald's Lucky Plaza,"304 Orchard Rd, B1-19 Lucky Plaza, Singapore 238863",1.3045795,103.8340621,Tourist,Orchard,1070,0.00132326,Boulevard,460,0.013232514,0,Central,CCR,590,0.96,614.58,No,Retail
McDonald's SpringLeaf Tower,"3 Anson Rd, #01-03 Springleaf Tower, Singapore 079909",1.2748671,103.8459685,High,Downtown Core,3870,0.000523807,Tanjong Pagar,800,0.008421875,0,Central,CCR,3570,4.34,822.58,No,Office
McDonald's LIDO,"350 Orchard Rd, #05-12/13 05/21 and Shaw House, Singapore 238868",1.3059065,103.8314983,Tourist,Orchard,1070,0.00132326,Boulevard,460,0.013232514,0,Central,CCR,590,0.96,614.58,No,Office
McDonald's Chinatown Point,"133 New Bridge Rd, #01-03 Chinatown Point, Singapore 059432",1.2850191,103.8446308,Medium,Outram,17470,0.000228505,China Square,1260,0.002443941,0,Central,RCR,17420,1.37,12715.33,No,Retail
McDonald's Northshore Plaza,"407 Northshore Dr, #02-30/31 Northshore Plaza I, Singapore 820407",1.4171246,103.9017228,Medium,Punggol,186270,2.51548E-05,Northshore,9820,0.000392399,6.39,North East,OCR,186270,9.34,19943.25,No,
McDonald's Forum,"583 Orchard Road, #B1-25, Forum The Shopping Mall, Singapore 238884",1.3061667,103.8284991,High,Orchard,1070,0.00132326,Tanglin,450,0.015555556,0,Central,CCR,590,0.96,614.58,Yes,Retail
McDonald's Boat Quay,"1 S Canal Rd, Singapore 048508",1.2857571,103.8497842,High,Downtown Core,3870,0.000523807,Phillip,0,0,0,Central,CCR,3570,4.34,822.58,Yes,
McDonald's Bishan Park,"1378 Ang Mo Kio Ave 1, Singapore 569981",1.3608791,103.8464437,High,Bishan,85750,5.60909E-05,Marymount,29020,0.000176297,6.28,Central,RCR,85940,7.62,11278.22,No,
McDonald's Tiong Bahru Plaza,"302 Tiong Bahru Road 01-145/146, #147, Singapore 168732",1.2865842,103.8274678,Medium,Bukit Merah,149630,2.85721E-05,Tiong Bahru Station,15020,0.000283599,6.06,Central,RCR,150630,14.34,10504.18,No,Retail
McDonald's Funan Centre,"Funan 107, North Bridge Rd, #01-16, Singapore 179105",1.2917796,103.8495637,High,Downtown Core,3870,0.000523807,City Hall,40,0.175,0,Central,CCR,3570,4.34,822.58,No,Retail
McDonald’s Sengkang Grand Mall,"70 Compassvale Bow, #01-34, #01-35, #01-36, Singapore 544692",1.3817411,103.8927792,Medium,Sengkang,253120,1.88842E-05,Compassvale,20810,0.000227649,6.46,North East,OCR,253250,10.59,23914.07,No,
McDonald's Yishun (YS),"369 Sembawang Rd, #01-01 Sembawang Cottage, Singapore 758382",1.4267075,103.8260655,Medium,Yishun,222960,2.09575E-05,Mandai Estate,2090,0.003477484,6.2,North,OCR,223340,21.24,10515.07,No,
McDonald's Northpoint,"930 Yishun Ave 2, #01 - 12 / 13 Northpoint, Singapore 769098",1.429862,103.8356422,Low,Yishun,222960,2.09575E-05,Yishun Central,3020,0.001954958,6.2,North,OCR,223340,21.24,10515.07,Yes,Retail
McDonald's Khatib,"Blk 846 Yishun Ring Rd, #01-3669, Singapore 760846",1.4167918,103.8345779,Low,Yishun,222960,2.09575E-05,Yishun South,42090,0.000103516,6.2,North,OCR,223340,21.24,10515.07,No,HDB
McDonald's People's Park,"1 Park Road, #01-69 to #01-75, People's Park Complex, Singapore 059108",1.2843363,103.8423916,Medium,Outram,17470,0.000228505,People's Park,260,0.026923077,0,Central,RCR,17420,1.37,12715.33,Yes,Retail
McDonald's Gardens By The Bay,"18 Marina Gardens Dr, #02-04 Garden By The Bay, Singapore 018954",1.2825155,103.8653757,Tourist,Marina South,0,0,Marina South,0,0,0,Central,RCR,0,1.62,0,No,
"McDonald's Ridout Tea Garden, Queensway","580 Queensway, Ridout Tea Garden, Singapore 149066",1.304278,103.8019459,Medium,Queenstown,96870,4.3695E-05,Margaret Drive,22500,0.000184484,6.25,Central,RCR,96970,20.43,4746.45,Yes,
