results,latitude,longitude
Medium,1.326786323,103.8107546
Medium,1.327083353,103.8104369
Medium,1.32452635,103.8110029
Medium,1.32792373,103.8087038
Medium,1.330940618,103.8067567
Medium,1.33749594,103.8053868
Medium,1.329116384,103.8053445
Medium,1.328603552,103.8056958
Medium,1.328288618,103.8053068
High,1.374381237,103.8307403
High,1.375747455,103.8271407
High,1.371325956,103.8289656
Medium,1.374450519,103.826921
High,1.370811204,103.830227
High,1.37116566,103.8298525
High,1.376297466,103.8303347
High,1.373972501,103.8324756
Medium,1.376333074,103.8338782
Medium,1.374849903,103.8274014
Medium,1.376239712,103.8333953
Medium,1.374306971,103.827749
High,1.370586031,103.8306642
High,1.377295866,103.8321863
High,1.375214318,103.8289244
High,1.374485229,103.8327125
High,1.378131383,103.8333029
Medium,1.377240318,103.8338433
High,1.370475644,103.8300172
High,1.372783577,103.8296039
High,1.330283678,103.9509955
High,1.331381588,103.9502523
High,1.330412169,103.9495476
Medium,1.331907161,103.9431452
Medium,1.332061019,103.9442375
High,1.330642244,103.9501705
Medium,1.33054963,103.9458167
Medium,1.333659462,103.9456906
Medium,1.330861444,103.9475882
Medium,1.334269461,103.9265423
Medium,1.331560567,103.9443473
Medium,1.329558817,103.9475863
Medium,1.327802611,103.9464788
Medium,1.330585705,103.9459526
High,1.331798457,103.9493006
Medium,1.333307375,103.9306985
Medium,1.329154067,103.9486557
Medium,1.333648458,103.944597
Medium,1.319411174,103.8024408
High,1.313227386,103.7964097
High,1.31339278,103.7991496
Medium,1.323178141,103.7936448
Medium,1.322955206,103.7921911
High,1.314782889,103.790824
High,1.309972523,103.7978486
Medium,1.319239486,103.7931886
Medium,1.317433689,103.7992238
Medium,1.323026098,103.7940981
High,1.310230889,103.8002777
Medium,1.32260208,103.7942288
High,1.310786254,103.7987903
High,1.310824117,103.7977501
Medium,1.322189687,103.801019
High,1.310046902,103.7989881
High,1.315800421,103.7998547
High,1.315133924,103.7930752
High,1.30175637,103.8881756
High,1.299563203,103.8923287
Medium,1.306868334,103.8920736
Medium,1.305027043,103.8865239
High,1.307698624,103.8950466
Medium,1.297877705,103.8885131
High,1.299418061,103.895125
Medium,1.304745239,103.8865418
High,1.302891984,103.8959217
High,1.29807096,103.8905198
High,1.302784563,103.888644
Medium,1.306653548,103.892094
High,1.300972347,103.8880985
High,1.298426527,103.8962934
High,1.303049211,103.8883712
High,1.303914252,103.8964058
High,1.297991952,103.8961575
High,1.380243822,103.8286949
High,1.387308954,103.8376234
High,1.389069836,103.8400075
High,1.382050071,103.8318655
High,1.385557193,103.8293424
High,1.389463852,103.8374327
High,1.385469029,103.8382113
High,1.38150399,103.8285362
High,1.380793804,103.8305736
High,1.387932184,103.8356027
High,1.389574085,103.8382201
High,1.381610267,103.8299719
High,1.387214002,103.8402052
High,1.388918294,103.8398148
High,1.380847564,103.8305457
Medium,1.391173058,103.8353194
High,1.38123149,103.828479
Medium,1.311351699,103.8567241
Medium,1.312039925,103.8587283
Medium,1.315805826,103.8579689
Medium,1.307437697,103.8586849
Medium,1.310089274,103.8589186
Medium,1.314268558,103.8598267
Medium,1.311179108,103.8615445
Medium,1.312629407,103.8604942
Medium,1.310908716,103.8605977
Medium,1.309651218,103.8568009
Medium,1.308173153,103.8584356
Medium,1.311163885,103.8621176
Medium,1.307924507,103.8582819
Medium,1.310381739,103.862734
Medium,1.312577654,103.8604166
Medium,1.324265154,103.7840735
Medium,1.332951335,103.7906832
Medium,1.327079924,103.7920606
