Title,Address,Latitude,Longitude,Classification,Planning Area,Region,Region Type,Property Type,AltClass,NUM_STOPS,num_hdb,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_IN_VOLUME
McDonald's Plaza Singapura,"68 Orchard Road, #B1-23/24, Plaza Singapura, 68 Orchard Rd, #B1-23 24 Plaza, Singapore 238839",1.3007111,103.844904,Medium,Museum,Central,RCR,Retail,higher,9,0,735.0,531.0
McDonald's Toa Payoh Lorong,"Blk 109 Lor 1 Toa Payoh, #01-318, Singapore 310109",1.3412056,103.8463979,Medium,Toa Payoh,Central,RCR,HDB,higher,15,65,486.0,474.0
McDonald's Ang Mo Kio Ave 10,"Block 448 Ang Mo Kio Ave 10, #01-1693, Singapore 560448",1.3674385,103.8563633,Low,Ang Mo Kio,North East,OCR,,lower,11,80,1626.0,3356.0
McDonald's Parklane,"35 Selegie Rd, B1-38 Parklane Shopping Mall, Singapore 188307",1.300661,103.8493367,Medium,Rochor,Central,RCR,Retail,higher,16,11,283.0,957.0
McDonald's NEX,"23 Serangoon Central, B2-05/06/07/08 NEX, Singapore 556083",1.3509715,103.8718992,Medium,Serangoon,North East,OCR,Retail,higher,21,82,1817.0,2412.0
McDonald's Toa Payoh SAFRA,"293 Lorong 6 Toa Payoh #01-02, SAFRA, Club. Singapore, Singapore 319387",1.3302726,103.854705,High,Toa Payoh,Central,RCR,,higher,16,84,0.0,0.0
McDonald's Bishan Junction 8,"9 Bishan Pl, #01-20 Junction 8, Singapore 579837",1.3502609,103.8484718,Medium,Bishan,Central,RCR,Retail,higher,12,61,356.0,404.0
McDonald's Bugis Village,"151-152 Rochor Rd, Singapore 188426",1.3012126,103.8550878,Low,Rochor,Central,RCR,Office,lower,27,12,370.0,221.0
McDonald's Marina Square,"6 Raffles Blvd, #02-156/ #02-157/ #02-166 Marina Square, Singapore 039594",1.2912208,103.8573036,High,Downtown,Central,CCR,Retail,higher,14,0,488.0,213.0
McDonald's V Hotel,"70 Jellicoe Rd, Singapore 208767",1.3080123,103.862551,Medium,Kallang,Central,RCR,,higher,13,41,1026.0,1150.0
McDonald's Punggol SAFRA,"9 Sentul Cres, #03-05 SAFRA Punggol, Singapore 828654",1.4101714,103.9058403,High,Punggol,North East,OCR,,higher,3,14,7.0,0.0
McDonald's United Square,"101 Thomson Rd, #B1-11/12 United Square Shopping Mall, Singapore 307591",1.3170116,103.8439755,High,Novena,Central,CCR,Retail,higher,12,1,182.0,72.0
McDonald's Ang Mo Kio,"51 Ang Mo Kio Ave 3, #01-04, 51@AMK 569922",1.3693982,103.8473282,Low,Ang Mo Kio,North East,OCR,,lower,14,93,403.0,685.0
McDonald's Bugis Junction,"200 Victoria Street #01-66 Bugis Junction, Singapore 188024",1.2992456,103.8557546,Medium,Downtown,Central,CCR,Office,higher,29,16,889.0,728.0
McDonald's Raffles City,"252 North Bridge Road 01-49/50/51 Raffles City Shopping Centre, Singapore 179103",1.2931499,103.8533058,High,Downtown,Central,CCR,Retail,higher,21,6,52.0,43.0
McDonald's Suntec City,"3 Temasek Blvd, Singapore 038983",1.2947699,103.8599943,High,Downtown,Central,CCR,Office,higher,14,0,2270.0,2653.0
McDonald's Zhongshan Mall,"20 Ah Hood Rd, #01-16 Zhongshan Mall, Singapore 329984",1.3267879,103.8467985,Medium,Novena,Central,CCR,Retail,higher,12,13,1678.0,1352.0
McDonalds Ang Mo Kio BLK163,"163 Ang Mo Kio Ave 4, #01-438, Singapore 560163",1.3736253,103.8375503,Medium,Ang Mo Kio,North East,OCR,,higher,13,54,428.0,181.0
McDonald's SpringLeaf Tower,"3 Anson Rd, #01-03 Springleaf Tower, Singapore 079909",1.2748671,103.8459685,High,Downtown,Central,CCR,Office,higher,15,8,1232.0,469.0
McDonald's Chinatown Point,"133 New Bridge Rd, #01-03 Chinatown Point, Singapore 059432",1.2850191,103.8446308,Medium,Outram,Central,RCR,Retail,higher,14,21,501.0,122.0
McDonald's Northshore Plaza,"407 Northshore Dr, #02-30/31 Northshore Plaza I, Singapore 820407",1.4171246,103.9017228,Medium,Punggol,North East,OCR,,higher,7,52,3326.0,2592.0
McDonald's Forum,"583 Orchard Road, #B1-25, Forum The Shopping Mall, Singapore 238884",1.3061667,103.8284991,High,Orchard,Central,CCR,Retail,higher,9,0,29.0,157.0
McDonald's Boat Quay,"1 S Canal Rd, Singapore 048508",1.2857571,103.8497842,High,Downtown,Central,CCR,,higher,14,7,135.0,611.0
McDonald's Bishan Park,"1378 Ang Mo Kio Ave 1, Singapore 569981",1.3608791,103.8464437,High,Bishan,Central,RCR,,higher,9,76,0.0,0.0
McDonald's Tiong Bahru Plaza,"302 Tiong Bahru Road 01-145/146, #147, Singapore 168732",1.2865842,103.8274678,Medium,Bukit Merah,Central,RCR,Retail,higher,13,108,625.0,1303.0
McDonald's Funan Centre,"Funan 107, North Bridge Rd, #01-16, Singapore 179105",1.2917796,103.8495637,High,Downtown,Central,CCR,Retail,higher,18,0,223.0,281.0
McDonald’s Sengkang Grand Mall,"70 Compassvale Bow, #01-34, #01-35, #01-36, Singapore 544692",1.3817411,103.8927792,Medium,Sengkang,North East,OCR,,higher,13,119,343.0,583.0
McDonald's Yishun (YS),"369 Sembawang Rd, #01-01 Sembawang Cottage, Singapore 758382",1.4267075,103.8260655,Medium,Yishun,North,OCR,,higher,9,27,564.0,1820.0
McDonald's Northpoint,"930 Yishun Ave 2, #01 - 12 / 13 Northpoint, Singapore 769098",1.429862,103.8356422,Low,Yishun,North,OCR,Retail,lower,16,81,4886.0,8742.0
McDonald's Khatib,"Blk 846 Yishun Ring Rd, #01-3669, Singapore 760846",1.4167918,103.8345779,Low,Yishun,North,OCR,HDB,lower,14,101,1054.0,774.0
McDonald's People's Park,"1 Park Road, #01-69 to #01-75, People's Park Complex, Singapore 059108",1.2843363,103.8423916,Medium,Outram,Central,RCR,Retail,higher,18,25,1205.0,661.0
"McDonald's Ridout Tea Garden, Queensway","580 Queensway, Ridout Tea Garden, Singapore 149066",1.304278,103.8019459,Medium,Queenstown,Central,RCR,,higher,10,43,252.0,124.0
McDonald's Metropolis,"9 North Buona Vista Drive #01-08 Tower 1 The Metropolis, Singapore 138588",1.3061511,103.7910856,Medium,Queenstown,Central,RCR,,higher,15,29,526.0,977.0
McDonald's Alocassia,"383 Bukit Timah Rd, #01-09B Alocassia Apartments, Singapore 259727",1.3195389,103.827332,Low,Tanglin,Central,CCR,Retail,lower,11,0,1411.0,786.0
McDonald's Farrer Road,"10 Jln Serene, #01-01 Serene Centre, Singapore 258748",1.3223957,103.8135353,Medium,Tanglin,Central,CCR,Retail,higher,10,1,1254.0,272.0
