,BusStopCode,RoadName,Description,Latitude,Longitude
0,01012,Victoria St,Hotel Grand Pacific,1.29684825487647,103.85253591654006
1,01013,Victoria St,St. Joseph's Ch,1.29770970610083,103.8532247463225
2,01019,Victoria St,Bras Basah Cplx,1.29698951191332,103.85302201172507
3,01029,Nth Bridge Rd,Opp Natl Lib,1.2966729849642,103.85441422464267
4,01039,Nth Bridge Rd,Bugis Cube,1.29820784139683,103.85549139837407
5,01059,Victoria St,Bugis Stn Exit B,1.30075679526626,103.85611040457583
6,01109,Queen St,Queen St Ter,1.30358577565355,103.85650372998224
7,01112,Victoria St,Opp Bugis Stn Exit C,1.30009212839081,103.85520027125814
8,01113,Victoria St,Bugis Stn Exit A,1.30117297541547,103.8561140106393
9,01119,Victoria St,Aft Bugis Stn Exit C,1.2996041093804,103.85512934079571
10,01121,Victoria St,Stamford Pr Sch,1.30393809691048,103.85867999243207
11,01129,Victoria St,Opp Stamford Pr Sch,1.30350269187301,103.85864530718491
12,01139,Nth Bridge Rd,Parkview Sq,1.30033057855542,103.85716080665901
13,01211,Victoria St,Opp Blk 461,1.30551803523268,103.8605449516032
14,01219,Victoria St,Blk 461,1.30526598535719,103.86072019914616
15,01229,Nth Bridge Rd,Bef Sultan Mque,1.30337552638813,103.85963089198265
16,01231,Jln Sultan,Opp Textile Ctr,1.3032499999752,103.8610830559663
17,01239,Jln Sultan,Sultan Plaza,1.30291236608351,103.86161817611134
18,01311,Kallang Rd,Lavender Stn Exit B,1.3070916463394,103.86219695240973
19,01319,Kallang Rd,Lavender Stn Exit A/ICA,1.30757426746418,103.86325596123476
20,01329,Nth Bridge Rd,Blk 8,1.30495670239172,103.86363028484124
21,01339,Crawford St,Bef Crawford Bridge,1.30774601733202,103.8642627465441
22,01341,Crawford St,Southbank,1.30647555600578,103.86452527798744
23,01349,Crawford St,Opp Blk 4,1.30568635716829,103.86543994417883
24,01411,Beach Rd,Opp St. John HQ,1.30211332865049,103.86295598167331
25,01419,Beach Rd,St. John HQ,1.3020199999911,103.86326333301203
26,01421,Beach Rd,Opp Golden Mile Cplx,1.30338444400173,103.86483888898641
27,01429,Beach Rd,Golden Mile Cplx,1.3032136089394,103.86501584807763
28,01511,Beach Rd,Opp The Gateway,1.29919826103807,103.85864518302436
29,01519,Beach Rd,The Gateway,1.29907492488417,103.8589102973441
30,01521,Beach Rd,Opp Plaza Parkroyal,1.30088304437602,103.86066098182194
31,01529,Beach Rd,Plaza Parkroyal,1.30041667676526,103.86044115259938
32,01541,Rochor Rd,Bugis Stn Exit D,1.29886465442254,103.85734583628746
33,01549,Ophir Rd,Opp Duo Residences,1.30069868861162,103.85873120467069
34,01559,Ophir Rd,Landmark Village Hotel,1.30168731070562,103.85752923961614
35,01611,Beach Rd,Aft Raffles Hotel,1.29527259171342,103.85533686181174
36,01619,Beach Rd,Esplanade Stn Exit F,1.29428694178246,103.85503809424233
37,01621,Beach Rd,Opp Shaw Twrs,1.29695888888745,103.85655611109846
